Summit72.57972, -38.50454, h16v01
NASA-U, 73.84189, -49.49831, h16v01
GITS, 77.13781, -61.04113, h16v01
Humboldt, 78.5266, -56.8305, h16v01
CP2, 69.87968, -46.98692, h16v01
South_Dome, 63.14889, -44.81717, h16v02
DYE-2, 66.48001, -46.27889, h16v02
Saddle, 65.99947, -44.50016, h16v02
NASA-SE, 66.4797, -42.5002, h16v02
Swiss_Camp, 69.56833, -49.31582, h16v02
JAR, 69.498358, -49.68156, h16v02
JAR_2, 69.42, -50.0575, h16v02
KAR, 69.69942, -33.00058, h16v02
NASA-E, 75, -29.99972, h17v01
NGRIP, 75.09975, -42.3325, h17v01
TUNU-N, 78.01677, -33.99387, h17v01

